ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
ITEM NUMBER,ITEM_ADDED_DATE,BR_ID,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05
ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
"11-12019-00",81,0,1,1,0,0,0,0,0,4,1,3,1,1
"11-12020-00",81,3,1,2,1,1,2,2,1,0,0,0,0,0
"11-12247-00-1",81,8,0,2,0,3,9,7,0,0,0,0,1,0
"11-12248-00",81,0,0,0,0,0,0,0,0,0,0,0,0,1
"11-12248-00-1",81,8,0,3,0,0,4,1,0,0,0,1,1,0
"11-12321-00",81,4,15,0,0,0,2,2,1,1,1,3,2,0
"11-12321-00-9",81,0,9,9,2,3,3,5,2,2,0,1,3,3
"11-12321-90",81,5,13,1,0,1,3,3,0,2,1,0,2,0
"11-12322-00",81,12,25,30,18,6,3,10,6,0,7,2,3,8
"11-12322-00-9",81,3,8,15,4,4,2,2,1,2,0,1,1,2
"11-12322-90",81,4,16,3,1,0,1,1,2,4,2,1,2,2
"11-1282-01",81,72,53,64,48,54,60,74,52,70,179,40,58,41
"11-1282-02",81,31,23,17,32,18,28,16,15,7,69,16,21,6
"11-1282-03",81,0,0,0,0,5,0,0,0,0,9,5,12,2
"11-1282-09",81,92,50,86,37,42,47,131,33,145,12,16,76,86
"11-1282-69",81,23,14,25,16,23,29,25,22,28,12,23,24,24
"11-1283-01",81,47,49,61,37,27,57,63,46,53,142,33,69,48
"11-1283-02",81,10,31,21,28,4,3,16,6,5,44,5,23,3
"11-1283-03",81,0,0,0,11,5,0,1,2,5,4,5,14,3
"11-1283-09",81,79,56,26,49,45,38,118,35,43,134,7,67,85
"11-1283-69",81,18,18,31,15,14,24,37,10,30,13,55,17,18
"11-1322-67",81,20,15,24,5,4,1,11,5,0,6,6,8,6
"11-1323-67",81,7,10,4,5,8,7,14,3,1,5,8,6,3
"11-1324-01",81,34,37,40,31,26,36,67,37,21,88,10,19,37
"11-1324-91",81,1,0,2,1,2,1,2,3,4,0,3,0,1
"11-1324-93",81,1,2,0,0,2,0,0,0,0,0,0,0,0
"11-1324-95",81,9,8,11,3,6,3,11,9,12,4,11,4,5
"11-1325-01",81,31,38,30,16,31,31,44,35,13,125,22,24,35
"11-1325-95",81,4,3,11,9,9,1,8,6,7,5,16,16,8
"11-1339-00",81,14,7,3,4,2,3,4,12,4,4,7,6,6
"11-1340-00",81,14,6,4,7,6,5,10,9,11,4,7,3,9
"11-1347-02",81,33,25,27,21,4,7,23,5,14,20,19,12,9
"11-1347-36",81,14,14,8,3,1,3,6,2,3,1,3,0,0
"11-1348-02",81,28,18,20,14,3,12,13,15,26,9,23,14,8
"11-1376-01",81,60,58,63,52,43,37,61,27,19,17,14,62,42
"11-1376-91",81,5,9,12,11,6,6,11,5,9,11,12,14,6
"11-1377-01",81,46,80,56,43,38,11,45,42,25,13,22,54,39
"11-1377-91",81,9,8,4,5,9,12,16,4,3,10,9,20,2
"11-1435-02",81,9,2,5,3,2,3,9,7,13,12,4,6,6
"11-1436-02",81,6,11,13,5,6,5,7,0,1,4,6,4,8
"11-1546-00",81,0,4,1,2,4,2,4,3,0,0,0,0,0
"11-1547-00",81,4,0,0,0,0,0,0,0,0,0,0,0,0
"11-1547-02",81,2,8,2,0,1,2,4,3,5,2,0,0,0
"11-1611-00",81,7,3,6,3,3,2,0,0,0,0,0,0,0
"11-1612-00",81,7,13,25,0,0,0,0,0,0,0,0,0,0
"11-1643-00",81,0,0,1,0,0,1,2,0,1,0,0,1,0
"11-1643-09",81,13,13,9,7,21,19,19,8,13,6,16,17,16
"11-1644-09",81,12,9,11,8,21,23,16,13,16,6,10,19,10
"11-1654-00",81,42,51,46,37,55,46,68,36,42,93,28,40,58
"11-1654-02",81,74,49,287,70,110,53,139,61,103,217,60,16,41
"11-1655-00",81,35,34,40,54,45,57,91,44,55,117,25,37,56
"11-1655-02",81,74,58,304,105,44,44,109,46,142,120,69,56,73
"11-1676-01",81,4,0,0,0,0,0,0,0,0,0,0,0,0
"11-1681-00",81,36,20,73,10,18,27,46,47,49,188,36,125,37
"11-1681-01",81,25,23,33,23,36,36,57,23,42,88,24,26,14
"11-1682-00",81,31,19,73,23,15,21,49,14,33,146,31,45,81
"11-1682-01",81,18,25,35,14,22,29,18,8,6,5,32,28,15
"11-1687-00",81,1,0,0,0,6,10,1,0,1,1,1,2,0
"11-1785-01",81,1,1,0,2,3,0,0,0,0,4,0,3,0
"11-1800-00",81,1,3,4,4,3,6,15,7,9,4,8,0,3
"11-1801-00",81,1,2,4,3,1,5,2,1,7,5,4,4,9
"11-1839-00",81,1,1,4,0,0,0,0,1,2,1,2,1,2
"11-1840-00",81,2,2,3,1,4,2,5,13,9,2,6,5,5
"11-1869-01",81,8,2,7,7,4,9,10,7,2,4,4,9,11
"11-1870-01",81,7,7,11,6,1,4,10,9,7,4,10,5,10
"11-1885-01",81,172,218,394,287,253,397,512,235,520,639,356,167,61
"11-1885-01-0",81,20,7,12,7,12,10,24,1,14,9,12,20,10
"11-1886-01",81,208,221,446,228,261,382,454,174,377,779,292,160,130
"11-1886-01-0",81,17,20,0,13,6,7,8,8,11,9,16,20,20
"11-1887-01",81,15,10,6,7,14,10,10,11,8,7,13,17,10
"11-1888-01",81,12,15,8,13,10,11,12,9,15,2,23,17,7
"11-1905-01",81,4,5,2,3,3,4,5,4,4,1,3,4,3
"11-1906-01",81,5,8,2,3,3,5,3,5,10,2,1,0,0
"11-1911-01",81,4,11,4,0,1,0,2,3,2,0,2,8,3
"11-1912-01",81,5,7,2,5,1,3,3,1,2,1,1,6,6
"11-1913-00",81,24,8,4,40,9,0,0,0,0,0,0,0,0
"11-1913-00-0",81,12,14,16,10,17,51,24,17,14,2,14,21,24
"11-1913-00-1",81,327,343,226,458,268,213,282,133,608,186,256,223,73
"11-1913-01",81,162,124,138,148,161,151,214,92,142,357,114,133,69
"11-1913-20",81,217,177,264,318,342,305,369,271,297,410,147,122,136
"11-1914-00",81,8,10,9,4,8,1,0,0,0,0,0,0,0
"11-1914-00-0",81,10,19,6,8,7,13,44,44,43,7,13,24,26
"11-1914-00-1",81,404,297,281,455,262,184,300,193,625,154,228,239,66
"11-1914-01",81,153,126,140,134,150,178,179,94,96,363,236,130,49
"11-1914-20",81,305,451,321,403,387,332,541,285,611,291,214,160,122
"11-1920-14",81,3,1,3,1,1,1,3,1,2,1,2,2,1
"11-3006-01",81,5,13,2,5,10,5,3,3,5,0,6,8,3
"11-3007-01",81,11,2,4,8,4,2,8,5,10,6,4,6,3
"11-3008-01",81,24,37,106,18,33,35,69,36,28,3,97,12,35
"11-3008-01-0",81,0,0,0,0,0,0,0,0,0,0,1,3,2
"11-3008-91",81,3,3,3,3,1,2,10,2,2,0,10,3,2
"11-3009-01",81,23,39,104,25,29,17,45,59,31,10,92,11,40
"11-3009-01-0",81,1,0,0,1,0,0,0,0,0,0,0,0,0
"11-3009-91",81,2,4,1,2,0,2,4,5,2,1,11,3,7
"11-3043-01",81,10,19,9,9,7,10,20,14,15,4,19,16,9
"11-3043-01-0",81,5,4,5,0,0,0,0,0,3,0,0,0,0
"11-3044-01",81,11,18,13,27,5,20,14,13,13,8,18,17,14
"11-3044-01-0",81,2,2,3,0,2,3,0,0,0,0,0,0,0
"11-3053-01",81,21,31,338,25,42,25,35,39,44,11,170,21,6
"11-3053-01-0",81,0,0,0,3,1,0,0,0,0,1,0,0,0
"11-3054-01",81,3,15,323,7,4,6,6,20,16,6,12,78,42
"11-3054-01-0",81,0,2,1,3,3,0,0,0,0,0,0,0,0
"11-3055-00",81,6,5,8,8,7,11,11,5,10,7,16,9,10
"11-3056-00",81,10,13,7,6,13,10,14,15,16,6,20,18,9
"11-3063-01",81,72,73,56,94,58,42,86,39,41,51,62,40,62
"11-3064-01",81,60,73,37,116,45,57,89,46,65,47,77,158,25
"11-3065-01",81,248,239,310,318,294,267,496,130,543,76,79,87,25
"11-3065-01-0",81,0,0,8,2,6,7,2,3,4,6,4,5,3
"11-3066-01",81,322,194,424,396,235,232,507,160,565,90,69,70,45
"11-3066-01-0",81,8,7,6,2,7,6,2,8,2,6,3,2,1
"11-3067-01",81,6,10,2,27,71,0,0,0,54,18,0,0,0
"11-3067-01-0",81,0,0,2,2,8,6,9,15,7,8,8,6,13
"11-3067-01-1",81,170,18,23,222,62,186,248,127,95,421,128,169,208
"11-3068-01",81,12,29,50,30,7,0,0,0,0,0,0,0,0
"11-3068-01-0",81,3,3,5,3,5,2,1,11,11,9,10,3,18
"11-3068-01-1",81,277,292,260,533,282,180,455,210,471,583,197,103,47
"11-3069-00",81,4,2,1,0,6,0,0,0,0,0,0,0,0
"11-3069-00-0",81,3,2,4,2,2,1,5,4,1,0,0,0,1
"11-3069-00-1",81,54,38,369,28,13,49,84,65,78,14,156,70,41
"11-3070-00",81,7,1,1,6,5,1,0,0,0,0,0,0,0
"11-3070-00-0",81,2,0,6,2,3,2,6,3,5,3,2,0,3
"11-3070-00-1",81,55,38,333,69,13,28,90,52,162,23,32,84,75
"11-3077-01",81,4,3,2,1,5,0,5,2,0,2,5,6,3
"11-3078-01",81,4,7,9,7,11,6,11,5,5,2,2,0,0
"11-3141-00",81,1,0,6,1,0,0,0,0,0,0,0,0,0
"11-3173-01",81,2,5,4,3,7,5,9,9,1,5,15,17,1
"11-3174-01",81,4,12,3,8,3,3,8,7,5,0,6,8,10
"11-3189-01",81,0,0,10,0,1,0,0,0,0,0,0,0,0
"11-3189-01-1",81,210,347,290,185,189,216,413,141,722,264,339,280,223
"11-3189-01-9",81,51,49,68,57,19,32,33,28,40,87,57,57,49
"11-3189-01-9(K)",81,9,6,9,11,5,12,0,15,6,10,12,6,10
"11-3190-01",81,0,1,7,0,1,0,0,0,0,0,0,0,0
"11-3190-01-1",81,271,306,249,257,155,203,366,120,492,256,329,274,170
"11-3190-01-9",81,37,50,45,33,38,33,42,38,58,74,77,40,30
"11-3190-01-9(K)",81,14,17,6,13,9,7,0,11,3,7,14,6,3
"11-3191-01",81,63,43,379,33,61,50,135,49,89,152,27,76,48
"11-3191-01-0",81,1,1,0,0,0,0,0,0,0,0,0,0,0
"11-3192-01",81,83,60,392,31,27,36,106,56,68,235,31,24,30
"11-3203-01",81,16,13,1,6,12,8,17,9,11,8,54,40,1
"11-3203-01-0",81,1,6,0,1,0,1,1,0,2,0,0,0,0
"11-3204-01",81,20,24,10,10,13,13,12,9,10,3,50,7,16
"11-3204-01-0",81,0,1,2,2,0,2,3,1,2,3,3,3,0
"11-3205-00",81,1,0,0,0,0,0,0,0,0,0,0,0,0
"11-3205-54",81,1,2,1,0,1,1,4,3,1,1,1,2,2
"11-3209-00",81,8,4,2,6,14,7,7,3,1,1,3,3,9
"11-3209-90",81,12,11,7,12,13,10,10,9,23,5,7,9,9
"11-3210-00",81,10,6,13,9,14,7,18,24,2,0,5,11,12
"11-3210-90",81,14,15,11,13,19,21,26,14,30,10,22,30,16
