PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,A,81,0,7,7
,,A,82,23,18,15
,,A,83,29,39,48
,,A,84,19,21,22
,,A,85,36,32,30
,,D,81,0,2,2
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,D,81,1,1,1
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,1,0,0
,,D,85,3,1,1
,,D,81,1,1,1
,,D,82,0,1,1
,,D,83,1,1,1
,,D,84,1,1,1
,,D,85,2,1,1
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,35,12,12
,,B,82,36,22,19
,,B,83,41,32,38
,,B,84,18,12,12
,,B,85,26,26,25
,,B,81,17,15,13
,,B,82,6,6,6
,,B,83,9,10,12
,,B,84,5,6,8
,,B,85,5,4,2
,,C,81,2,2,3
,,C,82,2,5,10
,,C,83,9,3,5
,,C,84,9,2,7
,,C,85,0,1,2
,,C,81,3,3,3
,,C,82,0,1,1
,,C,83,12,10,12
,,C,84,2,1,1
,,C,85,4,1,2
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,0,0,1
,,D,85,0,2,6
,,B,81,29,12,12
,,B,82,35,20,17
,,B,83,38,29,27
,,B,84,22,18,19
,,B,85,29,32,35
,,B,81,19,12,12
,,B,82,7,5,3
,,B,83,16,12,11
,,B,84,10,8,9
,,B,85,3,4,3
,,C,81,3,1,1
,,C,82,2,4,7
,,C,83,8,2,3
,,C,84,12,2,6
,,C,85,0,1,2
,,C,81,3,2,3
,,C,82,0,1,1
,,C,83,13,10,9
,,C,84,3,1,1
,,C,85,8,1,2
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,2,5
,,A,81,47,40,36
,,A,82,34,39,42
,,A,83,57,72,68
,,A,84,49,40,42
,,A,85,37,45,45
,,A,81,52,43,40
,,A,82,50,38,39
,,A,83,77,74,69
,,A,84,57,38,43
,,A,85,55,47,45
,,C,81,3,2,3
,,C,82,3,3,5
,,C,83,3,4,6
,,C,84,2,3,5
,,C,85,4,2,6
,,B,81,6,9,8
,,B,82,9,9,9
,,B,83,17,10,10
,,B,84,16,8,7
,,B,85,23,14,14
,,C,81,4,2,2
,,C,82,1,5,7
,,C,83,4,3,6
,,C,84,5,3,5
,,C,85,6,3,7
,,B,81,7,10,9
,,B,82,9,8,9
,,B,83,6,11,9
,,B,84,10,8,8
,,B,85,18,10,12
,,C,81,4,2,4
,,C,82,2,1,2
,,C,83,6,4,5
,,C,84,4,2,2
,,C,85,5,3,2
,,D,81,1,3,3
,,D,82,0,2,2
,,D,83,0,4,3
,,D,84,0,3,3
,,D,85,0,2,2
,,C,81,2,1,2
,,C,82,2,2,2
,,C,83,2,5,7
,,C,84,3,3,3
,,C,85,6,3,4
,,D,81,2,4,4
,,D,82,0,3,3
,,D,83,0,4,3
,,D,84,1,2,2
,,D,85,1,2,2
,,C,81,1,2,1
,,C,82,0,1,1
,,C,83,0,2,2
,,C,84,1,1,2
,,C,85,0,1,1
,,C,81,0,1,1
,,C,82,0,1,1
,,C,83,0,2,1
,,C,84,2,2,1
,,C,85,0,1,1
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,A,81,108,91,92
,,A,82,69,68,62
,,A,83,86,87,96
,,A,84,69,58,59
,,A,85,94,71,69
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,A,81,101,99,99
,,A,82,60,69,63
,,A,83,80,100,102
,,A,84,61,62,60
,,A,85,106,68,68
,,A,81,12,12,16
,,A,82,9,5,6
,,A,83,22,28,26
,,A,84,22,14,15
,,A,85,19,13,17
,,B,81,7,8,11
,,B,82,6,5,6
,,B,83,10,12,18
,,B,84,12,8,10
,,B,85,7,7,7
,,D,81,0,2,0
,,D,82,0,3,0
,,D,83,1,13,1
,,D,84,0,13,1
,,D,85,0,11,1
,,A,81,18,14,21
,,A,82,14,7,7
,,A,83,33,25,26
,,A,84,29,14,14
,,A,85,20,14,16
,,B,81,10,6,7
,,B,82,5,6,7
,,B,83,11,13,21
,,B,84,7,9,14
,,B,85,7,6,7
,,A,81,18,15,16
,,A,82,2,5,7
,,A,83,20,17,18
,,A,84,31,12,13
,,A,85,20,9,12
,,A,81,30,18,17
,,A,82,5,4,5
,,A,83,44,23,29
,,A,84,26,11,13
,,A,85,9,14,15
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,50,26,23
,,B,82,25,18,17
,,B,83,28,30,34
,,B,84,21,24,26
,,B,85,25,25,27
,,D,81,18,24,21
,,D,82,10,21,18
,,D,83,0,39,32
,,D,84,13,19,16
,,D,85,7,29,27
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,49,28,27
,,B,82,19,18,15
,,B,83,28,34,36
,,B,84,19,25,22
,,B,85,17,23,21
,,D,81,17,21,15
,,D,82,14,18,18
,,D,83,21,40,34
,,D,84,0,23,25
,,D,85,9,23,22
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,2,1,1
,,D,84,1,1,1
,,D,85,1,0,0
,,D,81,1,1,1
,,D,82,0,1,1
,,D,83,0,0,1
,,D,84,1,1,1
,,D,85,0,1,1
,,C,81,5,5,7
,,C,82,0,2,2
,,C,83,2,2,3
,,C,84,1,2,2
,,C,85,2,2,3
,,C,81,4,3,5
,,C,82,1,2,2
,,C,83,3,3,5
,,C,84,1,1,2
,,C,85,3,2,3
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,A,81,13,17,16
,,A,82,9,15,14
